"RANK","NAME","TEAM","POS","AGE","GP","MPG","USG%","TO%","FTA","FT%","2PA","2P%","3PA","3P%","eFG%","TS%","PPG","RPG","APG","SPG","BPG","TPG","P+R","P+A","P+R+A","VI","ORtg","DRtg"
"","Cory Joseph","Orl","G","33.2","2","5.1","12.6","0","0","0","1","0","2","0.5","0.5","0.5","1.5","0","0.5","0","0","0","1.5","2","2","0","116.7","119"
"","Keon Johnson","Bro","G","22.6","4","8.7","14.8","8.3","0","0","4","0.75","7","0","0.273","0.273","1.5","2.5","0.3","0.3","0","0.3","4","1.8","4.3","4.8","69.2","106.9"
"","Sandro Mamukelashvili","San","F-C","25.4","2","6.9","18.6","50","0","0","1","0","2","0.5","0.5","0.5","1.5","4","0.5","0","0.5","1.5","5.5","2","6","8.4","61.8","80.8"
"","Adam Flagler","Okc","G","24.9","4","1.8","11.3","0","0","0","0","0","2","1","1.5","1.5","1.5","0.3","0","0.3","0","0","1.8","1.5","1.8","0","0","0"
"","Jaylen Martin","Bro","G","20.8","2","1.6","13.8","0","0","0","0","0","1","1","1.5","1.5","1.5","0","0","0","0","0","1.5","1.5","1.5","0","0","0"
"","Tidjane Salaun","Cha","F","19.2","2","12.4","9.5","19.2","2","0.5","1","1","3","0","0.25","0.307","1.5","2","1.5","1","0","0.5","3.5","3","5","5.3","92.3","117.9"
"","Pacome Dadiet","Nyk","F","19.3","2","8.9","12.8","20","0","0","2","0","2","0.5","0.375","0.375","1.5","1","0","0","0","0.5","2.5","1.5","2.5","0","62","111.7"
"","Dalen Terry","Chi","F","22.3","5","8.4","11.4","19.4","4","0.75","6","0.333","2","0","0.25","0.359","1.4","0.8","0.4","0.6","0.2","0.4","2.2","1.8","2.6","3.6","76.3","91.1"
"","Alex Len","Sac","C","31.4","4","6.8","14.3","36.5","2","0.5","4","0.5","1","0","0.4","0.425","1.3","2.3","1.3","0.3","0.5","0.8","3.5","2.5","4.8","9.2","80.7","91.5"
"","Dario Saric","Den","F-C","30.6","4","9.8","13.1","17.8","2","0.5","8","0.25","1","0","0.222","0.253","1.3","1.5","0.3","0.3","0","0.5","2.8","1.5","3","3.4","60.9","111.3"
"","Alex Caruso","Okc","G","30.7","4","21","9.6","21.1","1","0","6","0.167","9","0.111","0.167","0.162","1.3","3","2.3","2.3","1","1","4.3","3.5","6.5","4","60.4","90.2"
"","Andre Jackson Jr.","Mil","G","23","3","4.4","13.2","25","0","0","2","1","1","0","0.667","0.667","1.3","1","1","0.7","0","0.3","2.3","2.3","3.3","9.9","130.1","71.6"
"","Craig Porter","Cle","G","24.7","3","4.4","16.4","0","0","0","3","0.667","2","0","0.4","0.4","1.3","0.7","0.7","0","0.7","0","2","2","2.7","7.8","102.6","113.6"
